beopjeongdong_code,sgis_code,sido,sigungu_name,dong_name,match_type,confidence,pip_hit_pct,note
44210102,34050520,44,서산시,동문동,pip,low,52.1,"-> 충청남도 서산시 동문1동 | 분산={'34050530': 46.3, '34050520': 52.1, '34050510': 0.2, '34050540': 1.5}"
44210103,34050510,44,서산시,갈산동,pip,high,99.8,"-> 충청남도 서산시 부춘동 | 분산={'34050510': 99.8, '34050310': 0.2}"
44210104,34050520,44,서산시,온석동,pip,high,100.0,-> 충청남도 서산시 동문1동 | 분산={'34050520': 100.0}
44210105,34050520,44,서산시,잠홍동,pip,high,99.9,"-> 충청남도 서산시 동문1동 | 분산={'34050520': 99.9, '34050540': 0.1}"
44210107,34050540,44,서산시,석림동,pip,high,100.0,-> 충청남도 서산시 수석동 | 분산={'34050540': 100.0}
44210109,34050550,44,서산시,예천동,pip,high,98.8,"-> 충청남도 서산시 석남동 | 분산={'34050550': 98.8, '34050310': 1.2}"
44270101,34080510,44,당진시,읍내동,pip,high,100.0,-> 충청남도 당진시 당진1동 | 분산={'34080510': 100.0}
44270102,34080520,44,당진시,채운동,pip,high,97.3,"-> 충청남도 당진시 당진2동 | 분산={'34080520': 97.3, '34080510': 2.4, '34080310': 0.2}"
44270103,34080530,44,당진시,우두동,pip,high,98.6,"-> 충청남도 당진시 당진3동 | 분산={'34080530': 98.6, '34080390': 0.7, '34080310': 0.3, '34080520': 0.4, '34080510': 0.1}"
44270104,34080530,44,당진시,원당동,pip,high,98.9,"-> 충청남도 당진시 당진3동 | 분산={'34080530': 98.9, '34080390': 0.6, '34080510': 0.4}"
44270105,34080530,44,당진시,시곡동,pip,high,99.9,"-> 충청남도 당진시 당진3동 | 분산={'34080530': 99.9, '34080120': 0.1}"
44270106,34080510,44,당진시,수청동,pip,high,99.0,"-> 충청남도 당진시 당진1동 | 분산={'34080510': 99.0, '34080520': 1.0}"
44270107,34080520,44,당진시,대덕동,pip,high,98.3,"-> 충청남도 당진시 당진2동 | 분산={'34080520': 98.3, '34080510': 1.7}"
44270108,34080520,44,당진시,행정동,pip,high,100.0,-> 충청남도 당진시 당진2동 | 분산={'34080520': 100.0}
44270109,34080520,44,당진시,용연동,pip,high,99.3,"-> 충청남도 당진시 당진2동 | 분산={'34080520': 99.3, '34080340': 0.6, '34080350': 0.1}"
44270110,34080520,44,당진시,사기소동,pip,high,92.6,"-> 충청남도 당진시 당진2동 | 분산={'34080520': 92.6, '34080340': 4.0, '34080350': 3.4}"
44270111,34080520,44,당진시,구룡동,pip,high,99.9,"-> 충청남도 당진시 당진2동 | 분산={'34080520': 99.9, '_no_match': 0.1}"
44800256,34560130,충남,(A그룹/신설),홍북읍,pip,n/a(no_pool_data),99.5,-> 충청남도 홍성군 홍북읍 | KEPCO 미조회(풀 데이터 없음)
41590139,31240700,경기,(A그룹/신설),동탄6동,pip,n/a(no_pool_data),99.1,-> 경기도 화성시 동탄6동 | KEPCO 미조회(풀 데이터 없음)
41590136,31240710,경기,(A그룹/신설),동탄8동,pip,n/a(no_pool_data),100.0,-> 경기도 화성시 동탄8동 | KEPCO 미조회(풀 데이터 없음)
41590138,31240700,경기,(A그룹/신설),동탄6동,pip,n/a(no_pool_data),100.0,-> 경기도 화성시 동탄6동 | KEPCO 미조회(풀 데이터 없음)
41590137,31240691,경기,(A그룹/신설),동탄7동,pip,n/a(no_pool_data),100.0,-> 경기도 화성시 동탄7동 | KEPCO 미조회(풀 데이터 없음)
41590133,31240720,경기,(A그룹/신설),동탄9동,pip,n/a(no_pool_data),100.0,-> 경기도 화성시 동탄9동 | KEPCO 미조회(풀 데이터 없음)
41461259,31191140,경기,(A그룹/신설),남사읍,pip,n/a(no_pool_data),100.0,-> 경기도 용인시 처인구 남사읍 | KEPCO 미조회(풀 데이터 없음)
41461256,31191130,경기,(A그룹/신설),이동읍,pip,n/a(no_pool_data),100.0,-> 경기도 용인시 처인구 이동읍 | KEPCO 미조회(풀 데이터 없음)
